No,新築表示,予約申込,入居可能日,物件名,部屋,住所,間取り,賃料,共益費,車 1,駐車場その他,敷金,礼金,築年月,専有面積
1,,,即入居可,コーポみらい,202,サンプル県デモ市北区本町8-5,1DK,130000,4400,-,,なし,0.5ヶ月,2024年3月,48.06
2,,,2026年8月1日,スカイガーデン,302,サンプル県デモ市北区旭ヶ丘8-15,2LDK,59000,5000,5500,,1ヶ月,なし,2020年11月,39.0
3,,,相談,グリーンのぞみ,305,サンプル県デモ市北区緑町26-2,1Room,130000,4400,6600,,2ヶ月,2ヶ月,2015年5月,55.23
4,,予約1,2026年8月1日,メゾンガーデン,201,サンプル県デモ市北区緑町3-8,1DK,108000,5500,5500,バイク置場あり,1ヶ月,1ヶ月,2012年12月,55.09
5,,予約1,相談,リバーサイドガーデン,102,サンプル県デモ市北区3丁目18-8,1LDK,118000,6000,5500,,1ヶ月,なし,2015年5月,61.09
6,,,2026年6月20日,グリーンさくら,202,サンプル県デモ市北区2丁目7-19,3DK,83000,7000,5500,バイク置場あり,なし,1ヶ月,2017年3月,46.95
7,,キャンセル,即入居可,スカイテラス,205,サンプル県デモ市北区旭ヶ丘12-8,1LDK,130000,6000,-,,2ヶ月,1ヶ月,1996年4月,49.82
8,,キャンセル,2026年8月1日,サニーさくら,305,サンプル県デモ市北区みどり台17-9,1K,67000,7000,-,バイク置場あり,1ヶ月,1ヶ月,2023年12月,20.16
9,新築,,2026年8月1日,スカイヒルズ,202,サンプル県デモ市北区3丁目17-4,2LDK,130000,6500,5500,,2ヶ月,なし,2008年2月,44.43
10,,キャンセル,即入居可,コーポのぞみ,202,サンプル県デモ市北区本町2-8,1DK,67000,7000,4400,,なし,1.5ヶ月,2023年12月,67.34
11,,,相談,ハイツかなで,302,サンプル県デモ市北区旭ヶ丘7-18,2DK,89000,6000,7000,,なし,1ヶ月,2020年11月,36.9
12,,キャンセル,2026年8月1日,フォレストステージ,201,サンプル県デモ市北区本町1-3,1K,83000,4400,-,,なし,2ヶ月,2023年12月,30.71
13,,予約1,2026年6月20日,ハイツヒルズ,305,サンプル県デモ市北区みどり台8-16,3LDK,83000,4400,6600,バイク置場あり,1ヶ月,1万円,2024年3月,53.67
14,新築,申込,2026年6月20日,リバーサイドあおば,101,サンプル県デモ市北区旭ヶ丘24-11,1DK,83000,5000,5500,バイク置場あり,なし,2ヶ月,2023年12月,32.49
15,新築,,2026年6月20日,コーポこもれび,302,サンプル県デモ市北区2丁目2-18,1K,67000,5000,7000,,1ヶ月,なし,2018年9月,38.95
16,,,即入居可,パークサイドこもれび,202,サンプル県デモ市中央区旭ヶ丘23-18,1Room,78000,5000,4400,,2ヶ月,なし,2008年2月,22.86
17,,予約1,2026年7月1日,フォレストこもれび,302,サンプル県デモ市中央区3丁目2-17,1DK,78000,4400,7000,,2ヶ月,1ヶ月,2024年3月,50.97
18,,,2026年7月1日,サニーガーデン,305,サンプル県デモ市中央区桜台30-9,2DK,95000,5000,8800,,1ヶ月,1万円,2008年2月,66.45
19,新築,,即入居可,コーポみらい,301,サンプル県デモ市中央区2丁目3-18,2DK,130000,5500,5500,バイク置場あり,1ヶ月,1ヶ月,2023年12月,61.69
20,,,即入居可,スカイかなで,305,サンプル県デモ市中央区1丁目22-18,2LDK,67000,5000,8800,,なし,2ヶ月,2012年12月,50.24
21,,キャンセル,2026年8月1日,スカイのぞみ,201,サンプル県デモ市中央区緑町17-16,2LDK,59000,4400,-,,1ヶ月,1ヶ月,2012年12月,28.08
22,,申込,相談,ロイヤルステージ,205,サンプル県デモ市中央区1丁目4-3,1LDK,130000,4400,5500,バイク置場あり,なし,なし,2012年12月,38.23
23,新築,,2026年7月1日,メゾンのぞみ,201,サンプル県デモ市中央区本町22-4,3DK,130000,6000,5500,バイク置場あり,なし,1ヶ月,2008年2月,59.12
24,新築,,2026年6月20日,サニーガーデン,201,サンプル県デモ市中央区緑町6-4,3LDK,59000,6000,6600,バイク置場あり,なし,1ヶ月,2024年3月,53.0
25,,,即入居可,サニーのぞみ,202,サンプル県デモ市中央区2丁目25-9,3DK,130000,6000,6600,,2ヶ月,2ヶ月,2024年3月,25.42
26,新築,,即入居可,サニーのぞみ,203,サンプル県デモ市中央区旭ヶ丘20-17,1DK,108000,6500,8800,バイク置場あり,なし,0.5ヶ月,2017年3月,54.34
27,,予約1,即入居可,スカイヒルズ,B106,サンプル県デモ市中央区本町12-14,1DK,95000,6500,8800,バイク置場あり,2ヶ月,2ヶ月,1996年4月,36.31
28,,,相談,スカイかなで,302,サンプル県デモ市中央区3丁目7-14,3LDK,78000,6500,-,バイク置場あり,1ヶ月,1ヶ月,1996年4月,59.29
29,,,相談,リバーサイドのぞみ,301,サンプル県デモ市東区みどり台15-7,1Room,78000,7000,8800,,2ヶ月,2ヶ月,2020年11月,60.92
30,新築,,相談,レジデンスガーデン,202,サンプル県デモ市東区本町26-7,1LDK,59000,4400,-,バイク置場あり,1ヶ月,1.5ヶ月,2015年5月,55.92
31,新築,キャンセル,相談,サニーこもれび,205,サンプル県デモ市東区本町5-1,1DK,108000,5000,7000,,2ヶ月,1ヶ月,2020年11月,42.82
32,新築,予約1,2026年6月20日,ロイヤルガーデン,302,サンプル県デモ市東区桜台25-15,3LDK,130000,6000,7000,バイク置場あり,なし,1.5ヶ月,2012年12月,58.29
33,,,2026年8月1日,アーバンこもれび,B106,サンプル県デモ市東区本町9-15,1DK,89000,5000,4400,,なし,1ヶ月,2015年5月,39.15
34,,,2026年7月1日,ハイツヒルズ,201,サンプル県デモ市東区2丁目14-14,3DK,130000,6000,7000,バイク置場あり,2ヶ月,1.5ヶ月,2024年3月,62.84
35,新築,,2026年7月1日,フォレストさくら,301,サンプル県デモ市東区1丁目12-10,3LDK,108000,6500,6600,バイク置場あり,1ヶ月,なし,1996年4月,36.81
36,,,2026年6月20日,リバーサイドさくら,103,サンプル県デモ市東区みどり台30-5,1K,108000,6500,5500,バイク置場あり,なし,なし,2012年12月,38.96
37,,,即入居可,レジデンスこもれび,203,サンプル県デモ市東区桜台25-13,2LDK,108000,5500,8800,,なし,2ヶ月,2015年5月,52.51
38,,予約1,即入居可,リバーサイドみらい,101,サンプル県デモ市東区本町7-1,1LDK,83000,5000,4400,,1ヶ月,1.5ヶ月,2012年12月,58.34
39,,,相談,ハイツテラス,305,サンプル県デモ市東区2丁目25-6,2LDK,67000,6500,8800,バイク置場あり,1ヶ月,1.5ヶ月,2015年5月,23.8
40,,申込,2026年6月20日,スカイガーデン,201,サンプル県デモ市東区2丁目23-10,1DK,142000,4400,8800,バイク置場あり,なし,0.5ヶ月,2008年2月,20.63
41,,申込,相談,サニーこもれび,102,サンプル県デモ市東区旭ヶ丘12-15,1LDK,108000,5000,7000,バイク置場あり,1ヶ月,1.5ヶ月,2012年12月,36.12
42,,キャンセル,2026年8月1日,レジデンスあおば,202,サンプル県デモ市東区みどり台8-15,3LDK,95000,4400,5500,バイク置場あり,なし,2ヶ月,2012年12月,37.02
43,,,相談,スカイかなで,302,サンプル県デモ市西区1丁目17-7,1DK,83000,7000,5500,,1ヶ月,1.5ヶ月,2023年12月,42.41
44,,申込,相談,メゾンあおば,202,サンプル県デモ市西区本町13-8,2LDK,142000,5500,6600,バイク置場あり,2ヶ月,0.5ヶ月,2008年2月,37.59
45,新築,,2026年7月1日,ロイヤルかなで,202,サンプル県デモ市西区緑町8-4,2DK,95000,4400,8800,バイク置場あり,1ヶ月,1.5ヶ月,2017年3月,49.84
46,新築,,即入居可,コーポつばさ,202,サンプル県デモ市西区本町12-6,2LDK,59000,7000,-,,1ヶ月,1.5ヶ月,2018年9月,51.89
47,,,2026年6月20日,ロイヤルあおば,101,サンプル県デモ市西区緑町16-16,1Room,95000,5000,-,,1ヶ月,1万円,2020年11月,48.85
48,,申込,2026年6月20日,リバーサイドみらい,103,サンプル県デモ市西区3丁目26-19,2LDK,67000,5000,4400,,2ヶ月,1ヶ月,2017年3月,39.02
49,,キャンセル,2026年7月1日,ロイヤルかなで,305,サンプル県デモ市西区旭ヶ丘10-19,1K,142000,7000,8800,,1ヶ月,1.5ヶ月,2020年11月,27.85
50,,,2026年7月1日,ハイツステージ,102,サンプル県デモ市西区3丁目1-14,1Room,142000,6000,6600,,1ヶ月,1.5ヶ月,2023年12月,23.56
51,新築,,即入居可,レジデンスかなで,B106,サンプル県デモ市西区本町14-4,2DK,78000,5500,5500,バイク置場あり,2ヶ月,1.5ヶ月,2012年12月,41.96
52,,,2026年8月1日,ロイヤルヒルズ,202,サンプル県デモ市西区旭ヶ丘9-17,1Room,118000,4400,4400,バイク置場あり,なし,なし,2015年5月,68.1
53,,,2026年7月1日,フォレストテラス,101,サンプル県デモ市西区緑町19-2,1LDK,118000,6500,4400,バイク置場あり,2ヶ月,1万円,2020年11月,43.5
54,,,2026年6月20日,サニーのぞみ,203,サンプル県デモ市西区2丁目28-6,3DK,108000,7000,4400,,1ヶ月,なし,2008年2月,32.62
55,新築,申込,2026年8月1日,コーポさくら,302,サンプル県デモ市西区1丁目22-18,1Room,108000,4400,4400,バイク置場あり,2ヶ月,1万円,2024年3月,30.18
56,新築,予約1,2026年7月1日,アーバンひかり,202,サンプル県デモ市西区みどり台29-16,1DK,59000,7000,6600,,なし,0.5ヶ月,1996年4月,24.66
